time,Temp,Avg_Chloro,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp,Lingulodinium_polyedra,Pseudo_nitzschia_delicatissima_group,Pseudo_nitzschia_seriata_group,Total_Phytoplankton
UTC,degree_C,mg/m3,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L,cells/L
2020-07-28T19:41:00Z,16.0,NaN,7994.0,0.0,283.0,0.0,8.0,6.0,10690.0
2020-08-25T19:36:00Z,13.6,NaN,194.0,0.0,18.0,0.0,40.0,225.0,8201.0
2020-09-03T20:57:00Z,14.4,NaN,48.0,0.0,74.0,0.0,11.0,39.0,1381.0
2020-10-16T18:39:00Z,12.5,NaN,8.0,51.0,80.0,0.0,2.0,40.0,2437.0
2020-11-12T23:16:00Z,11.8,NaN,0.0,0.0,0.0,0.0,27.0,9.0,404.0
2021-01-04T19:30:00Z,11.4,NaN,0.0,0.0,39.0,0.0,11.0,129.0,2643.0
2021-01-11T19:00:00Z,11.1,NaN,0.0,0.0,64.0,0.0,67.0,98.0,4090.0
2021-01-20T19:45:00Z,10.8,NaN,0.0,0.0,36.0,0.0,36.0,32.0,1335.0
2020-01-20T20:47:00Z,11.1,NaN,0.0,0.0,33.0,0.0,20.0,51.0,1454.0
2021-01-25T20:45:00Z,10.6,NaN,0.0,0.0,8.0,0.0,11.0,55.0,1432.0
2021-02-01T19:10:00Z,11.2,NaN,0.0,0.0,12.0,0.0,36.0,54.0,956.0
2021-02-08T19:00:00Z,11.4,NaN,0.0,0.0,10.0,0.0,10.0,6.0,336.0
2021-02-15T18:30:00Z,11.1,NaN,0.0,0.0,0.0,0.0,38.0,63.0,1732.0
2021-02-18T20:25:00Z,10.9,NaN,0.0,0.0,0.0,0.0,13.0,19.0,641.0
2021-02-21T19:20:00Z,10.3,NaN,0.0,0.0,1.0,0.0,58.0,45.0,3851.0
2021-03-01T18:30:00Z,9.7,NaN,0.0,0.0,0.0,0.0,11.0,12.0,1199.0
2021-03-08T18:30:00Z,10.2,NaN,0.0,0.0,0.0,0.0,3076.0,9542.0,351990.0
2021-03-15T18:00:00Z,9.8,NaN,0.0,0.0,28.0,0.0,56.0,1182.0,27234.0
2021-03-17T21:10:00Z,10.0,NaN,0.0,0.0,0.0,0.0,20.0,203.0,4378.0
2021-03-22T18:00:00Z,9.9,NaN,0.0,0.0,0.0,0.0,20.0,78.0,6293.0
2021-03-29T18:00:00Z,9.9,NaN,0.0,0.0,0.0,0.0,40.0,28.0,2233.0
2021-04-05T17:30:00Z,10.7,NaN,0.0,0.0,0.0,0.0,40.0,112.0,17407.0
2021-04-12T17:20:00Z,9.2,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1926.0
2021-04-19T17:45:00Z,9.9,NaN,0.0,0.0,0.0,0.0,169.0,156.0,18321.0
2021-04-26T19:15:00Z,10.8,NaN,0.0,0.0,0.0,0.0,0.0,0.0,3673.0
2021-04-28T19:05:00Z,10.4,NaN,0.0,0.0,0.0,0.0,470.0,388.0,128771.0
2021-05-03T17:40:00Z,10.5,NaN,0.0,0.0,0.0,0.0,13.0,0.0,2945.0
2021-05-10T17:45:00Z,10.3,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1010.0
2021-05-13T17:57:00Z,11.0,NaN,0.0,0.0,0.0,0.0,143.0,16.0,6256.0
2021-05-17T20:00:00Z,11.6,NaN,0.0,0.0,0.0,0.0,0.0,0.0,775.0
2021-05-24T18:10:00Z,9.7,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1203.0
2021-05-31T17:20:00Z,13.3,NaN,0.0,0.0,0.0,0.0,0.0,0.0,3800.0
2021-06-06T20:20:00Z,10.0,NaN,0.0,0.0,0.0,0.0,160.0,68.0,101473.0
2021-06-11T20:24:00Z,10.9,NaN,0.0,0.0,0.0,0.0,37.0,29.0,10503.0
2021-06-14T17:40:00Z,13.9,NaN,0.0,0.0,0.0,0.0,162.0,298.0,20634.0
2021-06-21T17:00:00Z,12.9,NaN,0.0,0.0,0.0,0.0,30.0,239.0,22038.0
2021-06-28T16:45:00Z,12.4,NaN,0.0,0.0,0.0,0.0,11.0,6.0,1856.0
2021-07-05T18:40:00Z,14.0,NaN,0.0,0.0,2.0,0.0,0.0,0.0,862.0
2021-07-12T19:00:00Z,11.0,NaN,0.0,0.0,11.0,0.0,0.0,5.0,2328.0
2021-07-18T17:30:00Z,11.9,NaN,0.0,0.0,43.0,0.0,49.0,7.0,1306.0
2021-07-26T16:45:00Z,13.2,NaN,0.0,0.0,47.0,0.0,32.0,8.0,2302.0
2021-07-28T19:15:00Z,14.3,NaN,43.0,31.0,61.0,25.0,31.0,0.0,3191.0
2021-08-02T16:20:00Z,16.0,NaN,0.0,0.0,57.0,0.0,16.0,8.0,2838.0
2021-08-06T17:30:00Z,11.8,NaN,0.0,0.0,40.0,0.0,13.0,13.0,1639.0
2021-08-09T16:20:00Z,14.3,NaN,0.0,0.0,38.0,0.0,27.0,5.0,1181.0
2021-08-16T17:00:00Z,12.3,NaN,0.0,0.0,48.0,0.0,18.0,26.0,2009.0
2021-08-19T18:20:00Z,13.6,NaN,12.0,7.0,32.0,0.0,7.0,0.0,887.0
2021-08-23T17:20:00Z,14.9,NaN,68.0,37.0,306.0,0.0,12.0,12.0,4123.0
2021-08-30T15:00:00Z,15.4,NaN,27.0,45.0,224.0,0.0,0.0,0.0,5766.0
2021-09-01T17:00:00Z,15.3,NaN,1837.0,127.0,290.0,0.0,0.0,0.0,16298.0
2021-09-06T17:15:00Z,15.4,NaN,52.0,12.0,133.0,0.0,260.0,203.0,6013.0
2021-09-13T17:00:00Z,12.4,NaN,19.0,0.0,35.0,0.0,0.0,0.0,2890.0
2021-09-17T18:28:00Z,14.4,NaN,45.0,45.0,22.0,0.0,22.0,71.0,3111.0
2021-09-20T17:15:00Z,14.0,NaN,12.0,9.0,12.0,0.0,33.0,98.0,2193.0
2021-09-27T17:20:00Z,15.0,NaN,91.0,27.0,47.0,0.0,0.0,0.0,3201.0
2021-10-04T17:50:00Z,13.0,NaN,25.0,0.0,21.0,0.0,0.0,44.0,1732.0
2021-10-11T17:20:00Z,12.5,NaN,93.0,25.0,46.0,0.0,8.0,85.0,1676.0
2021-10-15T18:38:00Z,12.0,NaN,18.0,0.0,39.0,0.0,15.0,259.0,2330.0
2021-10-18T17:00:00Z,12.1,NaN,63.0,0.0,45.0,0.0,9.0,178.0,2230.0
2021-10-26T16:00:00Z,13.6,NaN,198.0,102.0,123.0,0.0,12.0,12.0,4443.0
2021-11-02T20:40:00Z,14.7,NaN,17.0,17.0,250.0,0.0,3.0,17.0,2607.0
2021-11-08T18:20:00Z,13.1,NaN,0.0,0.0,9.0,0.0,0.0,7.0,717.0
2021-11-10T19:30:00Z,13.6,NaN,13.0,39.0,80.0,0.0,17.0,19.0,1927.0
2021-11-15T19:30:00Z,13.8,NaN,0.0,8.0,75.0,0.0,12.0,4.0,706.0
2021-11-22T18:20:00Z,13.2,NaN,3.0,0.0,7.0,0.0,9.0,13.0,529.0
2021-11-29T18:00:00Z,13.2,NaN,0.0,0.0,28.0,0.0,20.0,7.0,696.0
2021-12-06T18:00:00Z,12.8,NaN,11.0,3.0,11.0,0.0,7.0,19.0,659.0
2021-12-14T18:30:00Z,11.8,NaN,24.0,0.0,84.0,0.0,58.0,122.0,2643.0
2021-12-20T19:00:00Z,11.4,NaN,0.0,0.0,7.0,0.0,4.0,4.0,367.0
2021-12-27T20:00:00Z,11.8,NaN,0.0,0.0,19.0,0.0,0.0,0.0,1047.0
2021-12-28T18:36:00Z,11.5,NaN,0.0,0.0,1.0,0.0,2.0,0.0,80.0
2022-01-03T21:30:00Z,11.1,NaN,0.0,0.0,0.0,0.0,0.0,0.0,332.0
2022-01-10T19:30:00Z,11.6,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1275.0
2022-01-18T21:20:00Z,11.8,NaN,0.0,0.0,7.0,0.0,0.0,0.0,299.0
2022-01-24T19:00:00Z,11.9,NaN,0.0,0.0,17.0,0.0,0.0,0.0,681.0
2022-01-31T21:00:00Z,12.2,NaN,0.0,0.0,1.0,0.0,0.0,0.0,462.0
2022-02-07T18:00:00Z,11.9,NaN,0.0,0.0,0.0,0.0,4.0,24.0,1301.0
2022-02-15T21:00:00Z,11.4,NaN,0.0,0.0,11.0,0.0,4.0,7.0,1215.0
2022-02-22T20:00:00Z,10.3,NaN,0.0,0.0,4.0,0.0,7.0,7.0,1478.0
2022-02-24T20:16:00Z,10.2,NaN,0.0,0.0,0.0,0.0,0.0,3.0,293.0
2022-02-28T19:20:00Z,10.7,NaN,0.0,0.0,0.0,0.0,93.0,163.0,12106.0
2022-03-07T19:00:00Z,10.3,NaN,0.0,0.0,0.0,0.0,28.0,42.0,2538.0
2022-03-11T19:58:00Z,10.3,NaN,0.0,0.0,0.0,0.0,8.0,25.0,1685.0
2022-03-14T19:20:00Z,10.5,NaN,0.0,0.0,0.0,0.0,52.0,45.0,1531.0
2022-03-28T17:50:00Z,10.8,NaN,0.0,0.0,0.0,0.0,6.0,12.0,1086.0
2022-04-04T17:30:00Z,9.8,NaN,0.0,0.0,0.0,0.0,217.0,245.0,61081.0
2022-04-11T18:00:00Z,9.3,NaN,0.0,0.0,0.0,0.0,5.0,0.0,1144.0
2022-04-18T17:10:00Z,10.4,NaN,0.0,0.0,0.0,0.0,7.0,0.0,1738.0
2022-04-25T18:00:00Z,9.9,NaN,0.0,0.0,0.0,0.0,116.0,384.0,22641.0
2022-05-06T18:00:00Z,10.3,NaN,0.0,0.0,0.0,0.0,0.0,0.0,2227.0
2022-05-10T17:30:00Z,10.4,NaN,0.0,0.0,0.0,0.0,0.0,6.0,2746.0
2022-05-16T17:00:00Z,9.1,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1287.0
2022-05-23T19:00:00Z,9.1,NaN,0.0,0.0,0.0,0.0,3.0,0.0,482.0
2022-05-25T19:55:00Z,10.1,NaN,0.0,0.0,0.0,0.0,2.0,0.0,1470.0
2022-05-30T19:00:00Z,10.4,NaN,0.0,0.0,0.0,0.0,60.0,29.0,8890.0
2022-06-06T18:15:00Z,11.8,NaN,0.0,0.0,0.0,0.0,5.0,3.0,1426.0
2022-06-13T18:00:00Z,10.3,NaN,0.0,0.0,0.0,0.0,19.0,162.0,28289.0
2022-06-20T17:00:00Z,9.2,NaN,0.0,0.0,0.0,0.0,20.0,20.0,517696.0
2022-06-27T18:00:00Z,11.4,NaN,0.0,0.0,3.0,0.0,8.0,5.0,2120.0
2022-07-04T17:30:00Z,10.4,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1005.0
2022-07-11T18:00:00Z,11.3,NaN,0.0,0.0,0.0,0.0,16.0,8.0,1002.0
2022-07-18T18:30:00Z,10.2,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1106.0
2022-07-24T17:15:00Z,10.4,NaN,0.0,0.0,0.0,0.0,31.0,0.0,794.0
2022-07-26T18:51:00Z,11.8,NaN,0.0,0.0,0.0,0.0,62.0,5.0,780.0
2022-08-01T18:00:00Z,13.2,NaN,0.0,0.0,8.0,0.0,0.0,0.0,2898.0
2022-08-08T18:00:00Z,14.7,NaN,0.0,0.0,48.0,0.0,293.0,11.0,1410.0
2022-08-14T19:00:00Z,11.8,NaN,0.0,0.0,320.0,0.0,53.0,39.0,1765.0
2022-08-17T18:30:00Z,11.9,NaN,0.0,0.0,264.0,0.0,63.0,13.0,1362.0
2022-08-22T18:30:00Z,13.3,NaN,0.0,0.0,42.0,0.0,140.0,22.0,1786.0
2022-08-30T22:15:00Z,15.4,NaN,0.0,0.0,65.0,0.0,52.0,0.0,620.0
2022-09-03T18:30:00Z,10.9,NaN,0.0,0.0,71.0,0.0,50.0,151.0,2857.0
2022-09-12T18:30:00Z,14.0,NaN,3.0,4.0,43.0,0.0,3.0,0.0,423.0
2022-09-19T19:00:00Z,13.1,NaN,0.0,0.0,46.0,0.0,8.0,13.0,3129.0
2022-09-23T18:55:00Z,14.1,NaN,0.0,0.0,197.0,0.0,51.0,10.0,2254.0
2022-09-26T17:50:00Z,15.0,NaN,0.0,0.0,53.0,0.0,6.0,4.0,997.0
2022-10-03T20:45:00Z,14.7,NaN,0.0,0.0,69.0,0.0,14.0,5.0,1500.0
2022-10-10T18:45:00Z,13.1,NaN,0.0,67.0,93.0,0.0,19.0,10.0,1269.0
2022-10-17T18:30:00Z,13.3,NaN,0.0,10.0,18.0,0.0,0.0,0.0,366.0
2022-10-24T18:20:00Z,11.5,NaN,12.0,0.0,12.0,0.0,9.0,0.0,1581.0
2022-10-31T19:40:00Z,11.7,NaN,16.0,20.0,2.0,0.0,8.0,22.0,2893.0
2022-10-31T22:50:00Z,12.0,NaN,0.0,9.0,2.0,0.0,2.0,3.0,267.0
2022-11-09T21:30:00Z,11.8,NaN,0.0,0.0,9.0,0.0,6.0,22.0,654.0
2022-11-14T19:40:00Z,11.2,NaN,0.0,3.0,13.0,0.0,0.0,12.0,723.0
2022-11-16T20:10:00Z,11.1,NaN,0.0,16.0,11.0,1.0,23.0,11.0,417.0
2022-11-21T18:30:00Z,10.6,NaN,0.0,0.0,2.0,0.0,3.0,5.0,805.0
2022-11-28T18:30:00Z,11.1,NaN,0.0,11.0,18.0,0.0,5.0,0.0,1649.0
2022-12-05T20:15:00Z,13.1,NaN,3.0,15.0,23.0,0.0,3.0,13.0,1180.0
2022-12-20T17:48:00Z,11.1,NaN,4.0,2.0,1.0,0.0,2.0,0.0,273.0
2022-12-22T19:45:00Z,11.4,NaN,578.0,45.0,98.0,0.0,8.0,94.0,13051.0
2022-12-19T19:00:00Z,10.1,NaN,4.0,0.0,7.0,0.0,0.0,0.0,6988.0
2023-01-03T20:15:00Z,10.8,NaN,5.0,0.0,11.0,0.0,0.0,0.0,2309.0
2023-01-09T23:15:00Z,12.2,NaN,5.0,0.0,5.0,0.0,0.0,0.0,1412.0
2023-01-16T20:30:00Z,12.4,NaN,1.0,0.0,1.0,0.0,0.0,0.0,445.0
2023-01-23T21:30:00Z,12.2,NaN,0.0,0.0,0.0,0.0,0.0,0.0,357.0
2023-01-25T21:23:00Z,12.4,NaN,0.0,0.0,0.0,0.0,1.0,0.0,117.0
2023-01-30T19:20:00Z,11.4,NaN,0.0,0.0,0.0,0.0,0.0,0.0,484.0
2023-02-06T20:00:00Z,11.8,NaN,0.0,0.0,4.0,0.0,11.0,0.0,781.0
2023-02-13T18:50:00Z,11.7,NaN,0.0,0.0,2.0,0.0,16.0,0.0,2402.0
2023-02-22T19:00:00Z,10.7,NaN,0.0,0.0,6.0,0.0,0.0,0.0,2020.0
2023-02-27T20:38:00Z,9.6,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1375.0
2023-03-06T17:30:00Z,9.5,NaN,0.0,0.0,0.0,0.0,0.0,9.0,3950.0
2023-03-13T18:01:00Z,10.5,NaN,0.0,0.0,0.0,0.0,0.0,235.0,41124.0
2023-03-20T19:40:00Z,10.9,NaN,0.0,0.0,0.0,0.0,0.0,99.0,24365.0
2023-03-27T18:02:00Z,9.9,NaN,0.0,0.0,0.0,0.0,0.0,0.0,5745278.0
2023-03-31T18:05:00Z,11.4,NaN,0.0,0.0,0.0,0.0,0.0,29.0,1360.0
2023-04-03T18:20:00Z,10.2,NaN,0.0,0.0,0.0,0.0,0.0,3776.0,1461438.0
2023-04-10T19:18:00Z,11.7,NaN,0.0,0.0,0.0,0.0,0.0,1.0,2299.0
2023-04-17T17:35:00Z,8.8,NaN,0.0,0.0,0.0,0.0,0.0,0.0,756.0
2023-04-24T19:15:00Z,9.2,NaN,0.0,0.0,0.0,0.0,0.0,0.0,867.0
2023-04-27T18:35:00Z,NaN,NaN,0.0,0.0,0.0,0.0,0.0,0.0,17409.0
2023-05-01T19:30:00Z,9.7,NaN,0.0,0.0,0.0,0.0,0.0,0.0,211622.0
2023-05-08T18:00:00Z,13.0,NaN,0.0,0.0,0.0,0.0,0.0,0.0,1294567.0
2023-05-15T19:35:00Z,11.2,NaN,0.0,0.0,0.0,0.0,0.0,7.0,3500.0
2023-05-22T20:10:00Z,10.2,NaN,0.0,0.0,0.0,0.0,0.0,0.0,207.0
2023-05-26T20:57:00Z,NaN,NaN,0.0,0.0,149.0,0.0,0.0,744.0,125947.0
2023-05-30T20:10:00Z,13.9,NaN,0.0,0.0,0.0,0.0,0.0,0.0,107.0
2023-06-05T18:55:00Z,12.7,NaN,0.0,0.0,0.0,0.0,0.0,0.0,456.0
2023-06-06T21:10:00Z,NaN,NaN,0.0,0.0,0.0,0.0,0.0,563.0,130882.0
2023-06-12T20:27:00Z,14.3,NaN,0.0,0.0,21.0,0.0,0.0,7.0,284.0
2023-06-20T19:22:00Z,10.7,NaN,0.0,0.0,0.0,0.0,0.0,0.0,819.0
2023-06-26T20:02:00Z,12.7,NaN,0.0,0.0,0.0,0.0,0.0,3.0,5341.0
2023-07-03T19:23:20Z,13.3,NaN,0.0,0.0,0.0,0.0,0.0,0.0,376.0
2023-07-10T19:31:00Z,10.6,NaN,0.0,0.0,0.0,0.0,0.0,0.0,878.0
2023-07-17T18:51:00Z,12.4,NaN,0.0,0.0,20.0,0.0,0.0,0.0,709.0
2023-07-24T18:49:00Z,10.9,NaN,0.0,0.0,0.0,0.0,0.0,0.0,652.0
2023-07-31T21:23:00Z,11.8,NaN,0.0,0.0,14.0,0.0,0.0,74.0,568.0
2023-08-01T17:39:00Z,11.5,NaN,0.0,0.0,37.0,0.0,0.0,3478.0,21764.0
2023-08-07T18:35:00Z,10.8,NaN,0.0,0.0,0.0,0.0,0.0,57.0,1927.0
2023-08-16T19:50:00Z,15.7,NaN,0.0,0.0,325.0,0.0,0.0,0.0,1756.0
2023-08-17T19:30:00Z,NaN,NaN,0.0,104.0,499.0,0.0,0.0,0.0,3116.0
2023-08-21T19:02:00Z,16.2,NaN,0.0,0.0,1896.0,0.0,0.0,0.0,3420.0
2023-08-28T19:01:00Z,13.2,NaN,0.0,0.0,0.0,0.0,0.0,0.0,299.0
2023-09-05T19:06:00Z,13.7,NaN,0.0,0.0,2.0,0.0,0.0,5.0,65.0
2023-09-08T19:30:00Z,15.4,NaN,111.0,0.0,1313.0,0.0,0.0,0.0,18297.0
2023-09-11T19:00:00Z,13.3,NaN,0.0,0.0,3.0,0.0,0.0,0.0,931.0
2023-09-18T19:01:00Z,15.8,NaN,0.0,0.0,61.0,0.0,45.0,29.0,3686.0
2023-09-25T21:38:00Z,16.1,NaN,1102.0,0.0,54.0,0.0,0.0,11.0,3393.0
2023-10-02T19:50:00Z,13.0,NaN,38.0,0.0,16.0,0.0,0.0,0.0,1054.0
2023-10-05T21:32:00Z,15.1,NaN,1443.0,0.0,15.0,0.0,0.0,0.0,2498.0
2023-10-09T18:37:00Z,15.3,NaN,5.0,0.0,30.0,0.0,0.0,0.0,576.0
2023-10-16T17:45:00Z,14.5,NaN,959.0,0.0,69.0,0.0,0.0,0.0,2695.0
2023-10-23T19:02:00Z,14.9,NaN,27.0,0.0,103.0,0.0,0.0,0.0,2741.0
2023-10-30T16:35:00Z,12.4,NaN,0.0,0.0,18.0,0.0,0.0,0.0,366.0
2023-11-06T17:50:00Z,14.0,NaN,0.0,0.0,72.0,0.0,58.0,130.0,1411.0
2023-11-13T22:15:00Z,14.9,NaN,2.0,45.0,37.0,0.0,0.0,6.0,1619.0
