time,sea_water_temperature,mass_concentration_of_chlorophyll_in_sea_water
UTC,degree_Celsius,microg.L-1
2019-01-01T00:00:00Z,11.2833333333,11.47
2019-01-01T00:06:00Z,11.3,1.49
2019-01-01T00:12:00Z,11.3,1.42
2019-01-01T00:18:00Z,11.3,1.37
2019-01-01T00:24:00Z,11.3,9.74
2019-01-01T00:30:00Z,11.3,18.12
2019-01-01T00:36:00Z,11.3,18.12
2019-01-01T00:42:00Z,11.28,13.11
2019-01-01T00:48:00Z,11.26,5.03
2019-01-01T00:54:00Z,11.26,8.78
2019-01-01T01:00:00Z,11.1991666667,12.53
2019-01-01T01:06:00Z,11.26,12.53
2019-01-01T01:12:00Z,11.24,7.91
2019-01-01T01:18:00Z,11.22,4.78
2019-01-01T01:24:00Z,11.21,4.94
2019-01-01T01:30:00Z,11.2,5.09
2019-01-01T01:36:00Z,11.2,5.09
2019-01-01T01:42:00Z,11.2,5.92
2019-01-01T01:48:00Z,11.18,11.07
2019-01-01T01:54:00Z,11.18,13.4
2019-01-01T02:00:00Z,11.1575,15.73
2019-01-01T02:06:00Z,11.17,15.73
2019-01-01T02:12:00Z,11.17,13.47
2019-01-01T02:18:00Z,11.16,8.99
2019-01-01T02:24:00Z,11.18,15.61
2019-01-01T02:30:00Z,11.19,22.22
2019-01-01T02:36:00Z,11.19,22.22
2019-01-01T02:42:00Z,11.17,13.55
2019-01-01T02:48:00Z,11.15,1.62
2019-01-01T02:54:00Z,11.13,3.62
2019-01-01T03:00:00Z,11.095,5.61
2019-01-01T03:06:00Z,11.11,5.61
2019-01-01T03:12:00Z,11.1,15.47
2019-01-01T03:18:00Z,11.1,9.36
2019-01-01T03:24:00Z,11.1,20.42
2019-01-01T03:30:00Z,11.09,31.48
2019-01-01T03:36:00Z,11.09,31.48
2019-01-01T03:42:00Z,11.1,21.86
2019-01-01T03:48:00Z,11.1,20.98
2019-01-01T03:54:00Z,11.1,13.71
2019-01-01T04:00:00Z,11.1085714286,6.44
2019-01-01T04:06:00Z,11.09,6.44
2019-01-01T04:24:00Z,11.11,4.07
2019-01-01T04:30:00Z,11.13,2.32
2019-01-01T04:36:00Z,11.13,2.32
2019-01-01T04:42:00Z,11.14,1.95
2019-01-01T04:48:00Z,11.12,1.06
2019-01-01T04:54:00Z,11.09,2.4
2019-01-01T05:00:00Z,11.0464705882,3.07
2019-01-01T05:06:00Z,11.07,3.07
2019-01-01T05:12:00Z,11.04,2.91
2019-01-01T05:18:00Z,11.03,5.05
2019-01-01T05:24:00Z,11.04,3.37
2019-01-01T05:30:00Z,11.05,1.68
2019-01-01T05:36:00Z,11.05,1.68
2019-01-01T05:42:00Z,11.07,6.46
2019-01-01T05:48:00Z,11.07,1.24
2019-01-01T05:54:00Z,11.05,10.79
2019-01-01T06:00:00Z,10.9925,20.35
2019-01-01T06:06:00Z,11.04,20.35
2019-01-01T06:12:00Z,11.03,12.82
2019-01-01T06:18:00Z,11.02,5.38
2019-01-01T06:24:00Z,11.01,4.19
2019-01-01T06:30:00Z,10.99,3.0
2019-01-01T06:36:00Z,10.99,3.0
2019-01-01T06:42:00Z,10.98,2.58
2019-01-01T06:48:00Z,10.97,1.21
2019-01-01T06:54:00Z,10.97,1.21
2019-01-01T07:00:00Z,11.0326666667,1.2
2019-01-01T07:06:00Z,10.98,1.2
2019-01-01T07:12:00Z,11.0,9.81
2019-01-01T07:18:00Z,11.0,4.18
2019-01-01T07:24:00Z,11.02,4.75
