time,Temp,Avg_Chloro,Lingulodinium_polyedra,Akashiwo_sanguinea,Alexandrium_spp,Dinophysis_spp
UTC,degree_C,mg/m3,cells/L,cells/L,cells/L,cells/L
2021-01-29T18:59:00Z,NaN,NaN,0.0,0.0,0.0,4.0
2021-02-25T17:44:00Z,NaN,NaN,0.0,2.0,0.0,0.0
2021-03-27T18:42:00Z,NaN,NaN,0.0,20417.0,0.0,0.0
2021-04-14T21:45:00Z,NaN,NaN,0.0,119.0,0.0,0.0
2021-05-28T21:07:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2021-06-24T18:47:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2021-07-22T18:10:00Z,NaN,NaN,0.0,39.0,7.0,28.0
2021-08-20T18:45:00Z,NaN,NaN,0.0,12.0,39.0,22.0
2021-09-30T17:05:00Z,17.5,NaN,0.0,27.0,27.0,11.0
2021-10-27T19:15:00Z,NaN,NaN,2.0,37.0,27.0,21.0
2021-11-22T20:08:00Z,NaN,NaN,0.0,10.0,34.0,5.0
2021-12-17T18:17:00Z,NaN,NaN,0.0,2.0,0.0,6.0
2022-01-25T22:23:00Z,NaN,NaN,0.0,0.0,0.0,4.0
2022-02-18T21:08:00Z,NaN,NaN,0.0,0.0,0.0,1.0
2022-04-01T18:24:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2022-04-29T17:38:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2022-05-31T18:55:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2022-07-01T20:50:00Z,NaN,NaN,0.0,2.0,0.0,0.0
2022-08-01T20:09:00Z,NaN,NaN,0.0,212.0,0.0,11.0
2022-08-31T19:40:00Z,NaN,NaN,0.0,25.0,75.0,67.0
2022-09-30T21:30:00Z,NaN,NaN,0.0,7.0,28.0,61.0
2022-10-28T20:28:22Z,NaN,NaN,0.0,0.0,4.0,1.0
2022-11-22T18:32:00Z,NaN,NaN,0.0,0.0,8.0,3.0
2022-12-14T19:38:00Z,NaN,NaN,0.0,5.0,6.0,2.0
2023-02-01T16:36:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2023-03-29T21:45:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2023-04-26T22:20:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2023-05-23T21:39:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2023-06-29T17:40:00Z,NaN,NaN,0.0,1533.0,0.0,0.0
2023-07-20T19:22:00Z,NaN,NaN,0.0,114.0,0.0,0.0
2023-08-16T19:02:00Z,NaN,NaN,0.0,0.0,0.0,1745.0
2023-09-20T18:09:00Z,NaN,NaN,0.0,6.0,0.0,150.0
2023-10-30T19:47:00Z,NaN,NaN,0.0,240.0,534.0,20.0
2023-11-29T19:42:00Z,NaN,NaN,0.0,90.0,189.0,39.0
2023-12-14T19:42:00Z,NaN,NaN,0.0,0.0,17.0,14.0
2024-01-25T19:45:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2024-02-28T19:41:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2024-03-28T20:28:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2024-04-24T19:58:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2024-05-21T19:05:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2024-07-12T20:36:00Z,NaN,NaN,0.0,726.0,396.0,22.0
2024-07-31T18:25:00Z,NaN,NaN,0.0,68.0,68.0,46.0
2024-08-30T01:34:00Z,NaN,NaN,115.0,69.0,278.0,104.0
2024-09-30T19:56:00Z,NaN,NaN,0.0,0.0,0.0,131.0
2024-10-30T18:16:00Z,NaN,NaN,0.0,0.0,0.0,6.0
2024-12-17T20:15:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2025-01-30T18:43:00Z,NaN,NaN,0.0,0.0,0.0,11.0
2025-02-24T16:32:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2025-03-18T19:52:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2025-05-15T20:16:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2025-06-30T22:05:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2025-07-31T20:26:00Z,NaN,NaN,0.0,763.0,78.0,12.0
2025-09-26T17:35:00Z,NaN,NaN,0.0,445.0,36.0,156.0
2025-10-27T18:32:00Z,NaN,NaN,0.0,27.0,0.0,87.0
2025-11-25T18:10:00Z,NaN,NaN,0.0,12.0,0.0,0.0
2025-12-30T15:59:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2026-01-30T16:35:00Z,NaN,NaN,0.0,0.0,0.0,0.0
2026-03-03T19:26:00Z,NaN,NaN,0.0,0.0,0.0,0.0
